date,venue,artist,genre,featured
2024-10-05,The Ave Live,Bear Grillz,Electronic,no
2024-10-05,Union Transfer,Lupe Fiasco,HipHop,no
2024-10-05,Wells Fargo Center,Billie Eilish,Pop,no
2024-10-10,Union Transfer,Yard Act,Rock,no
2024-10-11,Franklin Music Hall,Johnny Marr,Rock,no
2024-10-15,Wells Fargo Center,Maggie Rogers,Pop,no
2024-10-17,Brooklyn Bowl,Joywave,Indie,yes
2024-10-18,Union Transfer,Ginger Root,Indie,yes
2024-10-21,Franklin Music Hall,Vince Staples,HipHop,yes
2024-10-24,The Fillmore,COIN,Pop,no
2024-11-01,The Met,André 3000,HipHop,no
2024-11-17,The Fillmore,IDKHOW,Indie,yes
2024-11-20,The Fillmore,Modest Mouse,Rock,no
2024-11-29,Union Transfer,Marc Rebillet,Electronic,yes